Name,Latitude,Longitude,Mood
Looks Salon,28.4195947,77.0210261,Tired
Ozone Fitness and Spa,28.4213508,77.0151894,Tired
The Westin Resort and Spa,28.3576033,76.9698277,Tired
Cyber Hub Social,28.3580645,76.969827,Party
Farzi Cafe,28.3804345,76.8412338,Party
Cafe Kabana,28.4051536,77.0546905,Party
Tau Devi Lal Bio Diversity Park,28.423012,77.0883327,Exploring
Purana Qila,28.4359673,77.0737052,Exploring
Kingdom of Dreams,28.4678711,77.0666979,Exploring
Sai Dham Temple,28.4343264,77.0028209,Holy
Jagannath Temple,28.444945,77.0310869,Holy
Shani Temple,28.444945,77.0310869,Holy
